time,temp,est,door,compressor
376,3.41101,534.591,0,0
377,3.21517,484.299,0,0
378,3.19064,438.767,0,0
379,3.1661,407.669,0,0
380,3.55746,362.38,0,0
381,3.01864,331.886,0,0
382,3.01864,315.655,0,0
383,3.1661,302.963,0,0
384,3.43545,286.99,0,0
385,3.48428,269.82,0,0
386,2.82143,270.576,0,0
387,3.21517,273.83,0,0
388,3.36211,276.105,0,0
389,3.33765,274.387,0,0
390,3.1661,276.096,0,0
391,2.84612,293.987,0,0
392,2.94477,317.171,0,0
393,3.23969,335.278,0,0
394,3.11699,351.864,0,0
395,2.94477,384.783,0,0
396,3.53308,399.722,0,0
397,3.01864,428.974,0,0
398,3.41101,434.787,0,0
399,3.26419,453.094,0,0
400,3.33765,475.359,0,0
401,3.36211,507.065,0,0
402,3.21517,552.757,0,0
403,3.26419,562.904,0,0
404,3.1661,563.749,0,0
405,3.1661,598.116,0,0
406,2.9694,660.793,0,0
407,3.06784,794.245,0,0
408,3.06784,936.489,0,0
409,3.19064,1144.93,0,0
410,3.36211,1353.59,0,0
411,3.21517,1579.75,0,0
412,3.65488,1406.27,0,0
413,2.9694,1445,0,0
414,3.04324,1809.59,0,0
415,3.23969,2328.27,0,0
416,2.82143,2328.27,0,0
417,3.48428,2328.27,0,0
418,3.63054,2328.27,0,0
419,3.26419,2328.27,0,0
420,3.43545,3600,0,0
421,3.01864,3600,0,0
422,3.14155,3600,0,0
423,3.75215,2225.03,0,0
424,3.09242,1659.37,0,0
425,3.19064,1536.15,0,0
426,3.58183,1315.98,0,0
427,3.23969,1108.58,0,0
428,3.38657,900.835,0,0
429,3.38657,761.715,0,0
430,3.33765,655.493,0,0
431,3.04324,633.361,0,0
432,3.36211,563.264,0,0
433,3.41101,490.831,0,0
434,3.21517,458.503,0,0
435,3.14155,450.195,0,0
436,3.21517,434.461,0,0
437,3.33765,415.862,0,0
438,2.99403,416.233,0,0
439,3.75215,389.343,0,0
440,2.92012,376.064,0,0
441,2.89547,384.691,0,0
442,3.70354,374.293,0,0
443,2.79673,393.689,0,0
444,3.21517,400.115,0,0
445,3.23969,395.032,0,0
446,3.28869,403.695,0,0
447,3.06784,422.402,0,0
448,3.26419,430.39,0,0
449,3.43545,421.183,0,0
450,3.63054,396.97,0,0
451,3.48428,384.175,0,0
452,3.28869,385.219,0,0
453,3.19064,390.322,0,0
454,3.21517,401.953,0,0
455,3.04324,439.479,0,0
456,3.09242,472.051,0,0
457,3.48428,499.991,0,0
458,3.31317,516.318,0,0
459,3.11699,544.613,0,0
460,3.41101,548.654,0,0
461,3.21517,550.023,0,0
462,3.19064,559.443,0,0
463,3.26419,565.005,0,0
464,3.21517,581.337,0,0
465,3.38657,589.894,0,0
466,3.1661,638.927,0,0
467,3.38657,694.371,0,0
468,3.23969,791.294,0,0
469,3.1661,945.987,0,0
470,3.50868,1034.58,0,0
471,3.1661,1197.83,0,0
472,3.19064,1253.61,0,0
473,3.1661,1505.45,0,0
474,3.43545,1870.7,0,0
475,3.55746,2071.15,0,0
476,3.45987,2769.47,0,0
477,3.14155,3600,0,0
478,3.38657,3386.52,0,0
479,3.21517,3291.63,0,0
480,3.06784,3347.41,0,0
481,3.48428,3495.96,0,0
482,3.36211,3600,0,0
483,3.38657,2587.16,0,0
484,3.80073,1676.3,0,0
485,3.21517,1364.15,0,0
486,3.63054,964.408,0,0
487,3.41101,753.475,0,0
488,3.63054,581.694,0,0
489,3.38657,473.058,0,0
490,3.19064,409.888,0,0
491,3.04324,387.285,0,0
492,3.01864,377.235,0,0
493,3.70354,343.067,0,0
494,3.36211,320.081,0,0
495,3.48428,299.813,0,0
496,3.36211,285.055,0,0
497,3.19064,275.98,0,0
498,3.33765,272.605,0,0
499,3.31317,260.99,0,0
500,3.19064,261.151,0,0
501,3.33765,267.342,0,0
502,3.21517,268.161,0,0
503,3.43545,274.717,0,0
504,3.38657,281.906,0,0
505,3.65488,280.474,0,0
506,3.01864,292.485,0,0
507,3.58183,298.56,0,0
508,3.26419,310.667,0,0
509,3.45987,313.666,0,0
510,3.60619,299.436,0,0
511,3.21517,289.897,0,0
512,3.28869,282.768,0,0
513,3.45987,275.091,0,0
514,3.26419,273.774,0,0
515,3.01864,287.862,0,0
516,3.65488,293.5,0,0
517,3.28869,299.73,0,0
518,3.43545,302.051,0,0
519,3.1661,317.419,0,0
520,3.06784,339.622,0,0
521,3.06784,376.349,0,0
522,3.26419,423.574,0,0
523,3.31317,481.803,0,0
524,3.41101,551.21,0,0
525,3.50868,607.767,0,0
526,3.97042,608.582,0,0
527,3.84926,558.867,0,0
528,3.33765,539.217,0,0
529,3.65488,509.649,0,0
530,3.45987,472.259,0,0
531,3.09242,477.548,0,0
532,3.60619,470.217,0,0
533,3.50868,469.683,0,0
534,3.67922,444.313,0,0
535,3.06784,439.383,0,0
536,2.82143,465.982,0,0
537,3.33765,501.317,0,0
538,3.31317,541.035,0,0
539,3.65488,563.101,0,0
540,3.21517,644.809,0,0
541,3.09242,771.245,0,0
542,3.55746,877.02,0,0
543,3.36211,1006.71,0,0
544,3.04324,1130.36,0,0
545,3.21517,1405.57,0,0
546,3.33765,1580.91,0,0
547,3.23969,1836.91,0,0
548,3.19064,1997.15,0,0
549,3.80073,1631.33,0,0
550,3.11699,1694.42,0,0
551,3.04324,2522.17,0,0
552,3.65488,3600,0,0
553,3.26419,3600,0,0
554,3.41101,3600,0,0
555,3.26419,3600,0,0
556,3.11699,3600,0,0
557,3.41101,3600,0,0
558,3.19064,3600,0,0
559,3.77644,3600,0,0
560,3.38657,3600,0,0
561,3.41101,3600,0,0
562,3.45987,3600,0,0
563,3.23969,3600,0,0
564,3.50868,3600,0,0
565,3.28869,3600,0,0
566,3.36211,3600,0,0
567,3.50868,3600,0,0
568,3.45987,3600,0,0
569,3.41101,3600,0,0
570,3.41101,3600,0,0
571,3.55746,3600,0,0
572,3.19064,3600,0,0
573,3.06784,3600,0,0
574,3.31317,3600,0,0
575,3.26419,3600,0,0
576,3.63054,3600,0,0
577,3.36211,3600,0,0
578,3.55746,3600,0,0
579,3.09242,3600,0,0
580,3.11699,3600,0,0
581,3.65488,3600,0,0
582,2.99403,3600,0,0
583,3.84926,3600,0,0
584,2.9694,3600,0,0
585,3.41101,3600,0,0
586,3.48428,3600,0,0
587,3.41101,3600,0,0
588,3.53308,3600,0,0
589,3.41101,3600,0,0
590,3.36211,3600,0,0
591,3.60619,3600,0,0
592,3.58183,2157.35,0,0
593,3.67922,1033.67,0,0
594,3.58183,629.422,0,0
595,3.1661,505.354,0,0
596,3.38657,457.747,0,0
597,3.31317,428.035,0,0
598,3.50868,398.112,0,0
599,3.50868,357.424,0,0
600,3.89775,311.366,0,0
601,3.45987,287.568,0,0
602,3.48428,262.947,0,0
603,3.43545,244.045,0,0
604,3.31317,237.371,0,0
605,3.60619,228.822,0,0
606,3.26419,227.365,0,0
607,3.33765,229.093,0,0
608,3.21517,238.438,0,0
609,3.92199,225.608,0,0
610,3.53308,220.094,0,0
611,3.33765,223.553,0,0
612,3.45987,221.26,0,0
613,3.09242,229.543,0,0
614,3.63054,229.243,0,0
615,3.50868,230.803,0,0
616,3.55746,234.582,0,0
617,3.38657,240.48,0,0
618,3.33765,252.791,0,0
619,3.41101,257.002,0,0
620,3.1661,269.575,0,0
621,3.21517,286.509,0,0
622,3.55746,294.608,0,0
623,3.58183,302.357,0,0
624,3.58183,302.324,0,0
625,3.31317,312.428,0,0
626,3.77644,307.683,0,0
627,3.50868,301.531,0,0
628,3.58183,290.274,0,0
629,3.28869,287.942,0,0
630,3.67922,276.071,0,0
631,3.11699,276.035,0,0
632,3.67922,270.186,0,0
633,3.70354,267.045,0,0
634,3.33765,273.462,0,0
635,3.19064,292.581,0,0
636,3.77644,290.276,0,0
637,3.41101,295.391,0,0
638,3.14155,308.978,0,0
639,3.45987,329.69,0,0
640,3.63054,354.727,0,0
641,3.72785,358.482,0,0
642,3.38657,391.84,0,0
643,3.70354,388.196,0,0
644,3.45987,414.938,0,0
645,3.26419,463.389,0,0
646,3.63054,494.84,0,0
647,3.60619,520.696,0,0
648,3.41101,550.465,0,0
649,3.55746,573.987,0,0
650,3.48428,610.922,0,0
651,3.41101,640.417,0,0
652,3.23969,691.767,0,0
653,3.21517,751.094,0,0
654,3.72785,722.233,0,0
655,3.50868,746.844,0,0
656,3.53308,772.546,0,0
657,3.06784,951.937,0,0
658,2.9694,1447.53,0,0
659,3.89775,1810.76,0,0
660,3.55746,1679.23,0,0
661,3.33765,1687.22,0,0
662,3.58183,1544.77,0,0
663,3.38657,1507.99,0,0
664,3.48428,1557.94,0,0
665,3.50868,1449.25,0,0
666,3.09242,1846.75,0,0
667,3.26419,3166.52,0,0
668,3.53308,3166.52,0,0
669,3.58183,3166.52,0,0
670,3.45987,3166.52,0,0
671,3.1661,3166.52,0,0
672,3.53308,3166.52,0,0
673,3.63054,3166.52,0,0
674,3.14155,3166.52,0,0
675,3.70354,3166.52,0,0
676,3.38657,3166.52,0,0
677,3.825,3166.52,0,0
678,3.19064,3166.52,0,0
679,3.23969,3166.52,0,0
680,3.33765,3166.52,0,0
681,3.67922,3166.52,0,0
682,3.23969,3166.52,0,0
683,3.33765,3166.52,0,0
684,3.58183,3166.52,0,0
685,3.58183,3166.52,0,0
686,3.41101,3166.52,0,0
687,3.23969,3166.52,0,0
688,3.11699,3166.52,0,0
689,3.41101,3166.52,0,0
690,3.45987,3166.52,0,0
691,3.58183,3166.52,0,0
692,3.31317,3166.52,0,0
693,3.19064,3166.52,0,0
694,3.58183,3166.52,0,0
695,3.48428,3166.52,0,0
696,3.67922,3166.52,0,0
697,3.1661,3166.52,0,0
698,3.43545,3166.52,0,0
699,3.72785,3166.52,0,0
700,3.70354,3166.52,0,0
701,3.60619,3166.52,0,0
702,3.60619,3166.52,0,0
703,3.58183,3166.52,0,0
704,3.67922,3166.52,0,0
705,3.50868,3166.52,0,0
706,3.33765,3166.52,0,0
707,3.58183,3166.52,0,0
708,3.72785,2056.07,0,0
709,3.38657,1102.03,0,0
710,3.72785,710.504,0,0
711,3.04324,599.729,0,0
712,3.55746,527.332,0,0
713,3.41101,500.65,0,0
714,3.77644,430.918,0,0
715,3.36211,390.032,0,0
716,3.70354,341.22,0,0
717,3.38657,325.862,0,0
718,3.48428,328.874,0,0
719,3.53308,313.366,0,0
720,3.45987,298.614,0,0
721,3.50868,288.254,0,0
722,3.53308,274.347,0,0
723,3.53308,263.122,0,0
724,3.31317,259.04,0,0
725,3.36211,256.382,0,0
726,3.70354,253.662,0,0
727,3.31317,263.528,0,0
728,3.60619,265.127,0,0
729,3.53308,263.249,0,0
730,3.28869,268.895,0,0
731,3.45987,280.724,0,0
732,3.97042,271.443,0,0
733,3.60619,260.324,0,0
734,3.77644,250.341,0,0
735,3.60619,236.649,0,0
736,3.43545,230.012,0,0
737,3.43545,219.483,0,0
738,3.53308,214.047,0,0
739,3.45987,214.567,0,0
740,3.84926,208.515,0,0
741,3.67922,199.271,0,0
742,3.58183,194.82,0,0
743,3.50868,193.88,0,0
744,3.58183,190.557,0,0
745,3.67922,183.816,0,0
746,3.48428,181.093,0,0
747,3.60619,180.019,0,0
748,3.28869,189.562,0,0
749,3.70354,194.575,0,0
750,3.87351,193.887,0,0
751,3.70354,191.513,0,0
752,3.80073,188.014,0,0
753,3.63054,189.947,0,0
754,3.70354,188.545,0,0
755,3.67922,186.693,0,0
756,3.60619,183.312,0,0
757,3.50868,187.034,0,0
758,3.80073,186.478,0,0
759,3.48428,187.516,0,0
760,3.48428,187.642,0,0
761,3.28869,192.685,0,0
762,3.58183,193.742,0,0
763,3.45987,196.795,0,0
764,3.70354,193.297,0,0
765,3.55746,192.016,0,0
766,3.89775,186.187,0,0
767,3.36211,188.022,0,0
768,3.77644,180.968,0,0
769,3.58183,178.409,0,0
770,3.38657,177.903,0,0
771,3.41101,186.074,0,0
772,3.45987,195.299,0,0
773,3.70354,202.35,0,0
774,3.38657,211.71,0,0
775,3.67922,219.528,0,0
776,3.31317,233.359,0,0
777,3.75215,241.985,0,0
778,3.65488,251.364,0,0
779,3.67922,258.232,0,0
780,3.92199,255.32,0,0
781,3.67922,254.654,0,0
782,3.50868,259.389,0,0
783,3.45987,269.376,0,0
784,3.04324,312.978,0,0
785,3.63054,362.7,0,0
786,3.48428,424.531,0,0
787,3.53308,532.649,0,0
788,3.58183,684.219,0,0
789,3.41101,1007.13,0,0
790,3.38657,2590.65,0,0
791,3.50868,2590.65,0,0
792,3.63054,2590.65,0,0
793,3.63054,2590.65,0,0
794,3.21517,2590.65,0,0
795,3.80073,2590.65,0,0
796,3.55746,2590.65,0,0
797,3.67922,2590.65,0,0
798,3.825,2590.65,0,0
799,3.70354,2590.65,0,0
800,3.67922,2590.65,0,0
801,3.70354,2590.65,0,0
802,3.48428,2590.65,0,0
803,3.65488,2590.65,0,0
804,3.43545,2590.65,0,0
