time,temp,est,door,compressor
370,3.28869,588.454,0,0
371,3.14155,865.069,0,0
372,3.50868,402.439,0,0
373,3.36211,515.573,0,0
374,3.14155,886.466,0,0
375,3.1661,825.299,0,0
376,3.38657,498.234,0,0
377,3.28869,609.297,0,0
378,3.28869,612.359,0,0
379,3.26419,651.125,0,0
380,3.45987,446.531,0,0
381,3.19064,800.291,0,0
382,3.19064,804.312,0,0
383,3.28869,627.541,0,0
384,3.41101,492.551,0,0
385,3.43545,474.177,0,0
386,3.11699,1063.05,0,0
387,3.31317,606.367,0,0
388,3.38657,524.183,0,0
389,3.38657,526.817,0,0
390,3.28869,652.367,0,0
391,3.14155,1009.77,0,0
392,3.19064,859.237,0,0
393,3.33765,590.865,0,0
394,3.26419,705.754,0,0
395,3.19064,875.306,0,0
396,3.48428,453.672,0,0
397,3.23969,766.859,0,0
398,3.43545,497.721,0,0
399,3.36211,577.193,0,0
400,3.41101,525.865,0,0
401,3.41101,528.508,0,0
402,3.33765,618.829,0,0
403,3.36211,589.34,0,0
404,3.31317,662.07,0,0
405,3.31317,665.397,0,0
406,3.21517,877.91,0,0
407,3.26419,762.437,0,0
408,3.26419,766.269,0,0
409,3.33765,638.754,0,0
410,3.41101,548.119,0,0
411,3.33765,645.746,0,0
412,3.58183,411.77,0,0
413,3.23969,852.82,0,0
414,3.26419,796.304,0,0
415,3.36211,622.857,0,0
416,3.1661,1130.06,0,0
417,3.50868,470.392,0,0
418,3.58183,419.961,0,0
419,3.38657,602.622,0,0
420,3.48428,498.418,0,0
421,3.26419,835.976,0,0
422,3.33765,686.214,0,0
423,3.63054,397.651,0,0
424,3.31317,741.601,0,0
425,3.36211,658.065,0,0
426,3.55746,450.013,0,0
427,3.38657,629.013,0,0
428,3.45987,541.03,0,0
429,3.45987,543.749,0,0
430,3.43545,574.349,0,0
431,3.31317,776.463,0,0
432,3.45987,551.042,0,0
433,3.48428,527.866,0,0
434,3.38657,653.716,0,0
435,3.36211,697.753,0,0
436,3.38657,660.109,0,0
437,3.45987,563.758,0,0
438,3.28869,875.168,0,0
